('AWASOI_clean.cif', '2.7519678640266925')
('AWEBIO_charged.cif', '2.4227746200079245')
('AWEGEP_clean.cif', '3.293005466910885')
('AWEZOS_clean.cif', '2.623431506786247')
('AWEZOS01_clean.cif', '2.6233542561231538')
('AWIBAK_clean.cif', '2.6243917120214606')
('AWIBAL_clean.cif', '2.3642478405499237')
('AWIBEO_clean.cif', '2.6231997657111092')
('AWIBIS_clean.cif', '2.62712724703965')
('AWOFOI_clean.cif', '2.5761329232614743')
('AWOKED_clean.cif', '2.490464113804042')
('AWUPAL_clean.cif', '2.363548676769938')
('AWUPOZ_clean.cif', '2.3640933577210115')
('AXAFAG_clean.cif', '2.445438964489306')
('AXAWUT_clean.cif', '2.6038738175871092')
('AXIMUP_clean.cif', '2.724335451400436')
('AXINEA_clean.cif', '2.5081606667129757')
('AXIPEE_clean.cif', '2.654975083665692')
('AXIPEE01_clean.cif', '2.9092603904709957')
('AXIPEE02_clean.cif', '2.767678113415638')
('AXIPEE03_clean.cif', '2.7341620481055404')
('AXOCAT_clean.cif', '3.1668599012857293')
('AXUBOL_clean.cif', '2.099618462060055')
('AXUDII04_clean.cif', '2.8665')
('AXUHAD_clean.cif', '2.1990805001155427')
('AXUHEH_clean.cif', '2.3088594720064624')
('AXUHIL_clean.cif', '2.372025689342624')
('AXUJOT_clean.cif', '2.999761140830312')
('AXUPEO_clean.cif', '2.1207941787045828')
('AYAWEE_clean.cif', '2.230081009453944')
('AYOYOE_clean.cif', '2.1502498528415055')
('AYUJIP_clean.cif', '2.184384087102074')
('AYUPOZ_clean.cif', '2.0955095396273737')
('AYUWUM_clean.cif', '2.49012459209193')
('AZAFIS_clean.cif', '2.381340201829989')
('AZAVOO_clean.cif', '2.1143056746643327')
('AZAWAZ_clean.cif', '2.62302930109575')
('AZEBUE_clean.cif', '2.4488313153312387')
('AZEWEH_clean.cif', '2.694207133823472')
('AZILEA_clean.cif', '2.4173906219994263')
('AZOBUN_clean.cif', '2.3542856609070237')
('BADHIA_clean.cif', '2.0989882106654525')
('BADHOG_clean.cif', '2.0923463953625614')
('BADHUM_clean.cif', '2.0847121159915485')
('BADHUM01_clean.cif', '2.157540141934291')
('BADJAU_clean.cif', '2.064372496800373')
('BADJIC_clean.cif', '2.2333336128980656')
('BADXAI_clean.cif', '2.4230023689633575')
('BADYAJ_clean.cif', '2.433538900439209')
('BAEDTA01_clean.cif', '2.797961464904211')
('BAKGAX_clean.cif', '2.221667516792681')
('BAKGIF_manual.cif', '2.1888315717184073')
('BAKLIK_clean.cif', '2.3098040889627383')
('BAKYIY_clean.cif', '2.1585208419403306')
('BAKYOE_clean.cif', '2.1291469403109944')
('BALMUW_clean.cif', '2.7952485571250523')
('BALMUW01_clean.cif', '2.809605495979346')
('BALPAH_clean.cif', '2.9930298096147396')
('BALPEL_clean.cif', '2.995521080991364')
('BALPIP_clean.cif', '2.705664114277565')
('BANMAG_clean.cif', '2.5449009477983253')
('BARZOL_charged.cif', '2.5882341471103127')
('BASJUB_clean.cif', '2.447768681887727')
('BASSOF_clean.cif', '2.449518580339972')
('BASSUL_clean.cif', '2.4432598295889436')
('BASTAS_clean.cif', '2.4503838597831074')
('BASTEW_clean.cif', '2.4560227875417295')
('BASTIA_clean.cif', '2.4508744605217307')
('BASTUM_clean.cif', '2.452119534036189')
('BAWRUO_clean.cif', '2.4112131448748695')
('BAXLOD_clean.cif', '2.165490700403955')
('BAXREY_clean.cif', '2.252179860155776')
('BAXSIE_clean.cif', '2.146420372961262')
('BAYCOU_clean.cif', '2.5060959056501773')
('BAZDAJ_clean.cif', '2.2709954940009687')
('BAZJET_clean.cif', '2.4344850877738766')
('BAZJIX_clean.cif', '2.319651798320507')
('BEDYEQ_clean.cif', '2.4128148510913032')
('BEFGEA_manual.cif', '2.057682638631615')
('BEFKUU_clean.cif', '1.912325785599374')
('BEFLAB01_clean.cif', '1.9778036243671928')
('BEFLEF_clean.cif', '1.8681809876802549')
('BEFLIJ_clean.cif', '1.8665034471902142')
('BEFLUV_clean.cif', '1.999200813487122')
('BEFMAC_clean.cif', '1.9566092235693575')
('BEFMOQ_clean.cif', '2.0749585435137927')
('BEFMUW_clean.cif', '2.0548621644632337')
('BEFNAD_clean.cif', '1.9242512068340405')
('BEFNEH_clean.cif', '1.9226851624541346')
('BEFNIL_clean.cif', '1.977541171518053')
('BEFNOR_clean.cif', '1.9049516047811434')
('BEFNUX_clean.cif', '2.049507563366899')
('BEFPAF_clean.cif', '1.8304953384112452')
('BEGBOG_clean.cif', '2.40457568387233')
('BEKSAM_clean.cif', '2.064566459390673')
('BEKYOG_clean.cif', '2.4594788724572174')
('BEKYUM_clean.cif', '2.519771802451583')
('BEKZEX_clean.cif', '2.487631282438736')
('BEKZEX01_clean.cif', '2.4850977568181802')
('BELTOD_clean.cif', '2.347947588544244')
('BELVEV_charged.cif', '2.6861870018701413')
('BELYIC_clean.cif', '2.086181515737988')
('BENZOL_clean.cif', '2.6534480574897397')
('BENZUR_clean.cif', '2.9103041136211867')
('BEPBAB_clean.cif', '2.5206647405342624')
('BEPMIU_clean.cif', '2.3796720969377256')
('BEPNUH_clean.cif', '2.428535292221917')
('BEPPAP_clean.cif', '2.387203249440822')
('BEPREV_clean.cif', '2.1113331889864897')
('BEPREV01_clean.cif', '2.0979075314957605')
('BEPREV02_clean.cif', '2.163949961327387')
('BEPREV03_clean.cif', '2.110736930814932')
('BEPROF_clean.cif', '2.1349534649814923')
('BEPWEA_clean.cif', '2.129442116142606')
('BETDAH_clean.cif', '2.4640102085759614')
('BETDEL_clean.cif', '2.4363904288194895')
('BETDIP_clean.cif', '2.4246395031434878')
('BETDOV_clean.cif', '2.467718789267784')
('BETDUB_clean.cif', '2.4552973521421366')
('BETFAJ_clean.cif', '2.455634623017117')
('BETFEN_clean.cif', '2.4555187845553013')
('BETFIR_clean.cif', '2.6072601478672572')
('BETFOX_clean.cif', '2.5486806020332176')
('BETFUD_clean.cif', '2.6169571262531575')
('BETGAK_clean.cif', '2.615238774301822')
('BETGEO_clean.cif', '2.534806120924146')
('BETGIS_clean.cif', '2.5165083011029745')
('BETGOY_clean.cif', '2.5951826621366685')
('BETHEP_clean.cif', '2.5011475063856285')
('BETZOR_clean.cif', '2.274352791671169')
('BEVQID_clean.cif', '2.632092646691774')
('BEVQUP_clean.cif', '3.0841574978818973')
('BEVRAW_clean.cif', '2.6291393469557187')
('BEWVEG_clean.cif', '2.4525209771348875')
('BEWVOQ_clean.cif', '2.305093322167713')
('BEWWEH_clean.cif', '2.3075631037424453')
('BEXPAX_clean.cif', '2.156122951808422')
('BEXQUR_clean.cif', '2.1221060536188174')
('BEXRAY_clean.cif', '2.299886684586549')
('BEXRIG_clean.cif', '2.1359963042779464')
('BEXRUT_clean.cif', '2.095166008816123')
('BEXSAA_clean.cif', '2.3273741703648345')
('BEXTUV_clean.cif', '2.7895998890127434')
('BEYKEX_clean.cif', '2.450738055626541')
('BEZDUH_clean.cif', '2.3339803137703194')
('BIBMAC_clean.cif', '2.304262853455386')
('BIBMEG_clean.cif', '2.2593683735061143')
('BIBMIK_clean.cif', '2.2039285805032023')
('BIBXIV_clean.cif', '2.0028183630000007')
('BIBXOB_clean.cif', '2.1442384073424665')
('BIBXUH_clean.cif', '2.1951320879646663')
('BICPOT_clean.cif', '1.9868626662892075')
('BICPUA_clean.cif', '2.2543768895542398')
('BIFGOO_clean.cif', '2.8234518300173246')
('BIFKEI_clean.cif', '2.41854581114668')
('BIGZUO_clean.cif', '2.3084997676942494')
('BIHBAX_clean.cif', '2.3138946307123027')
('BIHBEB_clean.cif', '2.3731891666089826')
('BIJDUV_clean.cif', '2.6410566854457036')
('BIJFAD_clean.cif', '2.137880390110984')
('BIJJOV_clean.cif', '2.1883049689642906')
('BINDAF_manual.cif', '2.21572786140222')
('BINSAU_clean.cif', '3.174288920090679')
('BIPKIW_clean.cif', '1.9985550682617201')
('BIQFOW_clean.cif', '1.9734014969476523')
('BIQRIE_clean.cif', '2.032852094854569')
('BIQVII_clean.cif', '2.5983149090372573')
('BIRGIU_clean.cif', '2.5866534709975553')
('BIRLIZ_clean.cif', '2.570092493703525')
('BIRMUM_clean.cif', '2.3205491510419622')
('BIRSIG_clean.cif', '2.144399237277742')
('BIWHAQ_clean.cif', '2.4818197974129066')
('BIWSEG_ion_b.cif', '4.163018519168502')
('BIWSIK_ion_b.cif', '2.8032071646695824')
('BIWSOQ_clean.cif', '2.585582613032396')
('BIWYAH10_clean.cif', '2.70477951321463')
('BIXXIR_clean.cif', '2.5344282522239916')
('BIXYEO_clean.cif', '2.557104839275362')
('BIYSUZ_clean.cif', '2.5187752128113994')
('BIYTAG_clean.cif', '2.5151244914160626')
('BIYTOU_clean.cif', '2.2211977698625622')
('BIYVEM_clean.cif', '2.500812747198247')
('BIYVIQ_clean.cif', '2.3627889470484487')
('BIYXUE_charged.cif', '2.5632134177221086')
('BIYYAL_charged.cif', '2.564467210713927')
('BIYYEP_charged.cif', '2.3898172784493985')
('BIZLUT_clean.cif', '2.384709976167253')
('BIZMAA_clean.cif', '2.366388061392802')
('BIZMEE_clean.cif', '2.3732461127176254')
('BIZMII_clean.cif', '2.3756524218399955')
('BOCKOT_clean.cif', '2.6370619308471204')
('BOCTEU01_clean.cif', '2.2236896254117227')
('BOCTOE_clean.cif', '2.2720462133068624')
('BOCTOE01_clean.cif', '2.2792731739124488')
('BOCTOE02_clean.cif', '2.2874887017519656')
('BOCTOE03_clean.cif', '2.295123934975372')
('BOCTOE04_clean.cif', '2.2577940390151725')
('BOCTOE05_clean.cif', '2.267689452281913')
('BOHGOU_clean.cif', '2.249303819901749')
('BOHJOZ_auto.cif', '2.2054363996769135')
('BOHWOM_clean.cif', '2.2082653304198896')
('BOHXIH_clean.cif', '2.367858427789467')
('BOJCIN_clean.cif', '2.5058014980346854')
('BOJDAG_clean.cif', '2.221258073851014')
('BOJYIK_clean.cif', '2.523962760981766')
('BOJYIK01_clean.cif', '2.542861146533714')
('BOKQEZ_clean.cif', '2.2586273902434733')
('BOLPAU_clean.cif', '2.5515952912996327')
('BOLZIN_clean.cif', '2.2974235574336843')
('BOMCUB_charged.cif', '2.6216821601315825')
('BOPWIO_clean.cif', '2.39184243663432')
('BORBEQ_clean.cif', '2.059791630682443')
('BOTLED_clean.cif', '2.549952877326187')
('BOWRAH_clean.cif', '1.9244737802072767')
('BOWSOW_clean.cif', '2.1599843189178225')
('BOWSUC_clean.cif', '2.1263253598515726')
('BOXFOK_clean.cif', '2.3093886502683523')
('BOXYEU_clean.cif', '2.3059186107768763')
('BOXYIY_clean.cif', '2.2575901658198605')
('BOYTEQ_clean.cif', '2.2421643644349256')
('BUBQOE_clean.cif', '2.4870844982807583')
('BUCROH_charged.cif', '2.146522404071959')
('BUCSEY_clean.cif', '2.0612879345669812')
('BUDDIO_clean.cif', '2.807840466182018')
('BUGSAY_clean.cif', '2.520670848346875')
('BUGSEC_clean.cif', '2.5377752097699693')
('BUGSIG_clean.cif', '2.547134204889196')
('BUGSOM_clean.cif', '2.5255892094338206')
('BUJKEW01_clean.cif', '3.295243609558882')
('BUKYAJ_clean.cif', '2.0931593856895523')
('BULBER_clean.cif', '2.653333222758933')
('BUNKUS_clean.cif', '2.261038110035599')
('BUNLAZ_clean.cif', '2.298530274008863')
('BUPDUM_clean.cif', '2.6253999023437498')
('BUPFAU_clean.cif', '2.7992933349609377')
('BUPFEY_clean.cif', '2.8169197998046878')
('BUPVEP_clean.cif', '2.4739368823795904')
('BURQIQ_clean.cif', '2.448435387764739')
('BUSGIG_clean.cif', '2.428824822956595')
('BUSGOM_clean.cif', '2.43967751547791')
('BUSQEM_clean.cif', '2.3325919982805763')
('BUSQIQ_clean.cif', '1.959858054052672')
('BUSSEP_clean.cif', '2.5382502903419173')
('BUSTAM_clean.cif', '2.5515171475961456')
('BUVHEH_clean.cif', '2.5437613738616713')
('BUVKUA_clean.cif', '2.5308905225254157')
('BUVVIZ_clean.cif', '2.3551754771740834')
('BUVVOF_clean.cif', '2.4909418821604')
('BUWLUC_clean.cif', '2.708565905235502')
('BUWMAJ_clean.cif', '2.5191075325973364')
('BUWMEN_clean.cif', '2.5684021440011477')
('BUWMIR_clean.cif', '2.5517987779899887')
('BUXZAX_clean.cif', '2.462558424714086')
('c4ce00408f_c4ce00408f2_clean.cif', '2.0050115203125003')
('c4dt02048k_c4dt02048k2_clean.cif', '2.4953317421109737')
('c5ce00677e_c5ce00677e2_clean.cif', '2.3017522915991373')
('c5ce01790d_c5ce01790d1_clean.cif', '2.5731817760591413')
('c5ce02503f_c5ce02503f2_clean.cif', '2.505758771235271')
('c5cp03920g_c5cp03920g2_clean.cif', '2.29959541969657')
('c5dt00281h_c5dt00281h2_clean.cif', '2.225795407765633')
('c5dt03091a_c5dt03091a2_clean.cif', '2.403036041833597')
('c5nj01930c_c5nj01930c2_clean.cif', '2.569396926964796')
('c5sc00614g_c5sc00614g2_clean.cif', '2.38927791865383')
('c5sc03494a_c5sc03494a2_clean.cif', '2.1878156395126673')
('c5ta04989j_c5ta04989j2_clean.cif', '2.4667031221628437')
('c6cc00862c_c6cc00862c2_clean.cif', '2.651636194722502')
('c6cc02494g_c6cc02494g1_clean.cif', '2.2624202402373115')
('c6cc02494g_c6cc02494g3_clean.cif', '2.2886997061564855')
('c6cc02494g_c6cc02494g4_clean.cif', '2.2886051978063975')
('c6cc02494g_c6cc02494g5_clean.cif', '2.284333594805319')
('c6cc02494g_c6cc02494g6_clean.cif', '2.263352558152401')
('c6ce00465b_c6ce00465b2_clean.cif', '2.30846685875793')
('c6cp03028a_c6cp03028a3_clean.cif', '2.5001714821987227')
('c6dt03852b_c6dt03852b2_clean.cif', '2.341089739894767')
('c6ta00429f_c6ta00429f2_clean.cif', '3.1118995596983936')
('CABJOH_clean.cif', '2.1457566366770515')
('CACNOM_clean.cif', '2.165099392596384')
('CADPIH_clean.cif', '2.116937175542687')
('CADQAB_clean.cif', '2.5721559951714728')
('CADQOP_clean.cif', '2.5738290461981808')
('CAFRUX_clean.cif', '2.645585580482373')
('CAGXIU_clean.cif', '2.743573551967936')
('CAHLEE_clean.cif', '2.705202431202986')
('CAHNEF_clean.cif', '2.6458174846132154')
('CAHQAG_clean.cif', '2.208675377338253')
('CAHQOS_clean.cif', '1.9341440792999065')
('CAHSOU_clean.cif', '2.0692781143224424')
('CAHVAJ_clean.cif', '2.2848614736694985')
('CAJBUN_clean.cif', '2.5305018358119247')
('CAJVUG_charged.cif', '2.1967223341599307')
('CAJWIV_ion_b.cif', '2.6179912743044476')
('CAKFEB_clean.cif', '2.5644542271955215')
('CAKFEB01_clean.cif', '2.4052023402082456')
('CAKFIF_clean.cif', '2.400930567601813')
('CAKXET_clean.cif', '2.5387718179672665')
('CAKXIX_clean.cif', '2.535648867003511')
('CAKXOD_clean.cif', '2.527201510839657')
('CAKXUJ_clean.cif', '2.5223518816676753')
('CAKYAQ_clean.cif', '2.521475382883705')
('CAKYEU_clean.cif', '2.515840057297712')
('CAKYIY_clean.cif', '2.5097646967280847')
('CAMROA_clean.cif', '2.3160004940430987')
('CANRIU_clean.cif', '2.108608514073931')
('CANROA_clean.cif', '2.11094722115133')
('CANRUG_clean.cif', '2.500565630440555')
('CANZOH_clean.cif', '2.127780897484301')
('CAPLOX_clean.cif', '2.484352135177085')
('CAQCAZ_clean.cif', '2.265155916310668')
('CARGEI_clean.cif', '3.212900181236292')
('CASTEW_clean.cif', '2.2652002212625684')
('CASWIE_clean.cif', '1.9559278667556668')
('CATART03_clean.cif', '2.5116308492226214')
('CAVMIW_clean.cif', '2.371790795811168')
